scheme,outer_fold,elapsed_seconds
random_interval,1,1.969321666751057
random_interval,2,2.3071023328229785
random_interval,3,2.118536790832877
random_interval,4,1.762434541247785
random_interval,5,2.0446069170720875
drillhole,1,1.7314532920718193
drillhole,2,1.8003182504326105
drillhole,3,1.7235585828311741
drillhole,4,1.7040796247310936
drillhole,5,1.74524095794186
spatial_block,1,2.4867958328686655
spatial_block,2,1.8112344173714519
spatial_block,3,1.720601708162576
spatial_block,4,2.063921082764864
spatial_block,5,1.8092458341270685
