scheme,outer_fold,component,vertical_scale,n_neighbors,nugget,partial_sill,range
random_interval,1,grade,1.0,24,6.761176169019496,8.048695270049665,224.5410978694722
random_interval,1,OOF_residual,1.0,24,6.84348340170002,2.0747693677247647,423.4527227596481
random_interval,2,grade,1.0,24,8.057030818209444,7.422046416718888,522.4499399039738
random_interval,2,OOF_residual,1.0,24,6.164403857543674,3.4530766291477613,1077.5710418736933
random_interval,3,grade,1.0,16,7.149043405512595,7.589095803128081,492.0025593809036
random_interval,3,OOF_residual,1.0,16,5.908920073020052,3.1598760664452357,297.235675428959
random_interval,4,grade,1.0,24,10.348534960875742,5.977141178245664,541.0630187812674
random_interval,4,OOF_residual,1.0,24,7.132291824127653,2.554983065790076,497.5795072976074
random_interval,5,grade,1.0,16,8.04623261734247,7.278379477679,449.97910435791374
random_interval,5,OOF_residual,1.0,16,7.297137673656062,2.890276960878166,5630.979363267545
drillhole,1,grade,4.0,24,4.972457007011189,11.430645982093745,461.97291546582323
drillhole,1,OOF_residual,4.0,24,3.399870147811198,10.361858569863497,625.3974858823004
drillhole,2,grade,4.0,24,0.2550153361805166,17.052397858915636,417.5225954347122
drillhole,2,OOF_residual,4.0,24,4.539637754077358,9.782820979660379,460.3145912024306
drillhole,3,grade,2.0,24,4.242099691495936,10.853574256491708,641.11365570039
drillhole,3,OOF_residual,2.0,24,5.112240648043741,7.833887587751064,617.8749995423686
drillhole,4,grade,4.0,24,9.627050309078541,6.864586014151227,1022.1582632674617
drillhole,4,OOF_residual,4.0,24,1.159800774039848,13.988188174538186,434.62860836863496
drillhole,5,grade,4.0,24,2.907251720685474,11.937611891415239,431.390918718046
drillhole,5,OOF_residual,4.0,24,6.732952232854596,4.426494806356256,858.0606511914447
spatial_block,1,grade,4.0,24,7.198325139922374,8.254010234960695,594.7208136456226
spatial_block,1,OOF_residual,4.0,24,2.7400028201039457,10.015884960566252,275.69989353126186
spatial_block,2,grade,4.0,24,4.877594932421721,12.271234995393614,643.5581676469017
spatial_block,2,OOF_residual,4.0,24,0.31343811058626747,13.966246698011833,380.6799508489031
spatial_block,3,grade,2.0,24,1.5835166732052142,13.7159107530228,194.0381889329575
spatial_block,3,OOF_residual,2.0,24,2.971864368221271,10.297085747337029,336.3445315891236
spatial_block,4,grade,2.0,24,4.142752916905762,13.478976276167923,288.6690976455976
spatial_block,4,OOF_residual,2.0,24,6.0153859865982025,8.981380210461197,412.6738401186293
spatial_block,5,grade,2.0,24,7.625918170842613e-19,12.217732686269068,141.42567838480878
spatial_block,5,OOF_residual,2.0,24,3.941343396497085,7.2492852047973235,397.72394569408715
